Capital of Kenya | Nairobi
2 + 2 | 4
Python creator | Guido van Rossum
Largest planet | Jupiter
First president of USA | George Washington
Capital of France | Paris
3 x 5 | 15
Smallest planet | Mercury
First man on the moon | Neil Armstrong
Python keyword for function | def
Fastest land animal | Cheetah
Chemical symbol for water | H2O
Longest river in the world | Nile
Square root of 64 | 8
Largest ocean | Pacific
Capital of Japan | Tokyo
Inventor of light bulb | Thomas Edison
Speed of light in vacuum (km/s) | 300000
Currency of UK | Pound
Shakespeare’s play with witches | Macbeth
Hardest natural substance | Diamond
Primary colors | Red, Blue, Yellow
H2O is commonly known as | Water
Gas we breathe in for life | Oxygen
Earth’s satellite | Moon
my babe | Erlyn ♥️
